class_name,image_1,image_2,phash_distance
Blueberry___healthy,train\Blueberry___healthy\1289b8c7-9d7d-4afd-acce-3becd99bc4f8___RS_HL 0770.JPG,train\Blueberry___healthy\a69c62a5-dcb0-4473-a524-464b77c31e50___RS_HL 0447.JPG,4
Blueberry___healthy,train\Blueberry___healthy\163fa1ca-f6b9-4ce4-8218-771750b3043f___RS_HL 5017.JPG,train\Blueberry___healthy\3b4ab949-7b1d-4127-a1d3-8f125989f495___RS_HL 5019.JPG,4
Blueberry___healthy,train\Blueberry___healthy\17f38da5-9764-456e-9c16-436ec1d69041___RS_HL 0590.JPG,val\Blueberry___healthy\fe4de3f6-ef8e-4e3f-b180-f8dd1c3d54cc___RS_HL 0591.JPG,4
Blueberry___healthy,train\Blueberry___healthy\201aef7f-4e1c-4197-ae37-66ca340909bc___RS_HL 0672.JPG,train\Blueberry___healthy\76610fbe-b5da-460e-ae69-29e89b02f1dd___RS_HL 0577.JPG,4
Blueberry___healthy,train\Blueberry___healthy\39a6957f-2837-4a39-bb60-a8a3c155290f___RS_HL 5099.JPG,train\Blueberry___healthy\7b7ada95-0a08-4b41-a028-e4ba89ca33c4___RS_HL 5097.JPG,4
Blueberry___healthy,train\Blueberry___healthy\8414bd37-f029-4748-baa3-373c63549003___RS_HL 5110.JPG,train\Blueberry___healthy\8c220aee-d920-4f0a-9ecc-180b8edeaa12___RS_HL 5100.JPG,4
Blueberry___healthy,train\Blueberry___healthy\8e993b68-3e27-4289-abf5-e25a7faac9e1___RS_HL 4885.JPG,train\Blueberry___healthy\db4a99f7-55a2-4cbb-8440-2b22b6b9c217___RS_HL 4884.JPG,4
Blueberry___healthy,train\Blueberry___healthy\bbb5f4ac-9750-4052-854c-13ae9c892c8a___RS_HL 0507.JPG,train\Blueberry___healthy\dc1d0041-ddd3-4bd4-b32b-dad33610f2cc___RS_HL 0383.JPG,4
Blueberry___healthy,train\Blueberry___healthy\eee48720-b1ef-499f-90f6-7dfcfe872c21___RS_HL 5182.JPG,val\Blueberry___healthy\a9d818fd-bcd3-4c1b-bfea-a26f72388f04___RS_HL 5195.JPG,4
Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\176d6faf-285c-4bf0-a643-cdfa9b4c741d___FREC_Pwd.M 0348.JPG,train\Cherry_(including_sour)___Powdery_mildew\341d8850-26e0-4ac5-a560-da2be3fc4b24___FREC_Pwd.M 0349.JPG,2
Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\176d6faf-285c-4bf0-a643-cdfa9b4c741d___FREC_Pwd.M 0348.JPG,val\Cherry_(including_sour)___Powdery_mildew\c33d7542-45be-47a0-a9cb-93980b16ba1e___FREC_Pwd.M 0347.JPG,2
Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\1f58631e-fd2c-4a0f-8cea-bc8a9feee0eb___FREC_Pwd.M 0285.JPG,train\Cherry_(including_sour)___Powdery_mildew\cd6f8dee-5c38-4e3c-946d-2d79a517d76e___FREC_Pwd.M 0284.JPG,4
Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\2b61ad8d-5292-4ac0-aced-1c295a38e2d0___FREC_Pwd.M 0427.JPG,train\Cherry_(including_sour)___Powdery_mildew\52aea538-85d0-461c-8956-25af2d74a1ac___FREC_Pwd.M 0426.JPG,2
Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\324c0529-3992-4015-91f2-1f8c8b87940f___FREC_Pwd.M 0323.JPG,train\Cherry_(including_sour)___Powdery_mildew\3928d15a-b841-4524-a5be-b34546c358f2___FREC_Pwd.M 0324.JPG,2
Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\32f9b09e-963a-4724-99cc-d4b4adff9914___FREC_Pwd.M 0317.JPG,train\Cherry_(including_sour)___Powdery_mildew\48175408-eebb-4868-bc02-906a07a93b77___FREC_Pwd.M 0318.JPG,4
Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\341d8850-26e0-4ac5-a560-da2be3fc4b24___FREC_Pwd.M 0349.JPG,val\Cherry_(including_sour)___Powdery_mildew\c33d7542-45be-47a0-a9cb-93980b16ba1e___FREC_Pwd.M 0347.JPG,4
Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\38b9665e-5c2e-4f30-9909-015cf9b3a4ef___FREC_Pwd.M 0481.JPG,train\Cherry_(including_sour)___Powdery_mildew\f3ca4413-77d8-4e46-8c5b-399a1d34c8f9___FREC_Pwd.M 0482.JPG,4
Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\4a681bd1-f177-4079-a67c-890eaa1fb016___FREC_Pwd.M 5097.JPG,train\Cherry_(including_sour)___Powdery_mildew\693c845b-b606-4bf9-8f29-7f8ae2c7f09d___FREC_Pwd.M 5096.JPG,4
Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\52fdca01-c6e8-4903-a8ff-c9825071e6d2___FREC_Pwd.M 0283.JPG,train\Cherry_(including_sour)___Powdery_mildew\cd6f8dee-5c38-4e3c-946d-2d79a517d76e___FREC_Pwd.M 0284.JPG,2
Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\87e0db60-4830-436a-ab50-5e5bfa10028f___FREC_Pwd.M 5080.JPG,train\Cherry_(including_sour)___Powdery_mildew\d45b03fe-d4cc-470c-bb27-e8ced9b6468f___FREC_Pwd.M 5081.JPG,4
Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\900cf5aa-c000-45d4-8e30-743c195b1ccd___FREC_Pwd.M 0516.JPG,val\Cherry_(including_sour)___Powdery_mildew\afc7e0e1-0524-4de8-8409-ba6e501c8d54___FREC_Pwd.M 0515.JPG,2
Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\98735a23-9c85-4110-a4b7-f3614a7e168d___FREC_Pwd.M 5055.JPG,train\Cherry_(including_sour)___Powdery_mildew\af17d4b3-3193-4f16-9449-28cd5a204499___FREC_Pwd.M 5058.JPG,4
Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\d53e4b45-41d9-4cea-9f79-80e99bac6a95___FREC_Pwd.M 4948.JPG,train\Cherry_(including_sour)___Powdery_mildew\fe410980-15d4-472d-b8e6-4fece7d302ee___FREC_Pwd.M 4949.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\036b575a-cbe7-45a4-8b97-15b7ecdf3dee___JR_HL 9600.JPG,train\Cherry_(including_sour)___healthy\2d4fa6df-452a-4697-89a6-a03dafd4104c___JR_HL 9876 copy.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\0a273dc4-db45-4936-aee3-59919e1df44f___JR_HL 9805.JPG,train\Cherry_(including_sour)___healthy\baa49a32-a5a5-48a0-8c1c-2c599853e460___JR_HL 3970.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\0e74a030-4b86-4c3f-8944-31e68d1911ba___JR_HL 4016.JPG,train\Cherry_(including_sour)___healthy\b570727c-3764-46cd-b128-d29353da1b9d___JR_HL 4024.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\25dd43a5-9a2b-4051-abdc-1f3a6311915a___JR_HL 9516.JPG,train\Cherry_(including_sour)___healthy\e681961f-9b24-4191-b3e3-2e9a5b48f3b5___JR_HL 9630.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\2d4fa6df-452a-4697-89a6-a03dafd4104c___JR_HL 9876 copy.JPG,train\Cherry_(including_sour)___healthy\771c7c63-38bb-4d7a-8db1-fda6c5d91076___JR_HL 9882 copy.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\3500f3de-9634-48fa-b032-3104b4863619___JR_HL 9661.JPG,train\Cherry_(including_sour)___healthy\6799a92a-334c-4147-bc38-267abda01076___JR_HL 9441.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\3500f3de-9634-48fa-b032-3104b4863619___JR_HL 9661.JPG,train\Cherry_(including_sour)___healthy\ddf48541-2606-4096-96a0-75bde5f60e2e___JR_HL 9590.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\36232566-e010-45c3-a25b-62fb7ec8bffc___JR_HL 9572.JPG,train\Cherry_(including_sour)___healthy\c30fb5bc-2fc0-42cd-a5db-5b4b774b9f7e___JR_HL 9574.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\39d6a038-a6f1-4bff-934c-dabb4496e691___JR_HL 4008.JPG,train\Cherry_(including_sour)___healthy\9ce21384-43da-4599-99c3-63af7c18cf96___JR_HL 4004.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\3e9c21cc-c912-46fd-bec7-6ab095e33d47___JR_HL 9443.JPG,val\Cherry_(including_sour)___healthy\8d8affc9-f724-4e95-827c-763d0e3cac90___JR_HL 9894 copy.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\415fdea5-432a-449a-8071-06ff01742307___JR_HL 9798.JPG,val\Cherry_(including_sour)___healthy\124e5b7b-dc6a-4b5a-8f4e-b22ed738b5fc___JR_HL 9455.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\66864f41-25b9-43f1-9f26-bc65cd325d39___JR_HL 3971.JPG,train\Cherry_(including_sour)___healthy\89bfbe68-6d5e-40f7-82c3-49107268740d___JR_HL 3974.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\6799a92a-334c-4147-bc38-267abda01076___JR_HL 9441.JPG,train\Cherry_(including_sour)___healthy\92f51e03-8792-42ea-a709-0b6fb115e1be___JR_HL 9807.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\90f22e39-5ee0-4973-ae80-ef987d05990a___JR_HL 4085.JPG,train\Cherry_(including_sour)___healthy\ea21a07c-746b-4c40-b9dd-bed17b367f3c___JR_HL 4082.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\9711cd2a-25f1-4e08-bb70-b5443d2ed94e___JR_HL 9432.JPG,train\Cherry_(including_sour)___healthy\ea6eb22e-337b-4f6e-b18f-6e5633e97571___JR_HL 9741.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\a9a9f8a7-02d8-409e-800a-03d8fc721251___JR_HL 9697.JPG,val\Cherry_(including_sour)___healthy\ed682229-adac-4051-87d4-2d8fa45c25c8___JR_HL 9514.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\b337e8a0-958c-48e3-9368-1d68fa26a493___JR_HL 4190.JPG,train\Cherry_(including_sour)___healthy\dcd94f3c-a363-4b22-8dd8-0ae62ddc6f07___JR_HL 4192.JPG,2
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\c30fb5bc-2fc0-42cd-a5db-5b4b774b9f7e___JR_HL 9574.JPG,val\Cherry_(including_sour)___healthy\6383ba62-2f58-4bf0-89f0-9a9159c25aad___JR_HL 9431.JPG,4
Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\fc9a5244-238a-4e19-9e07-80819941f414___JR_HL 4006.JPG,val\Cherry_(including_sour)___healthy\92cd65f0-9866-4985-b706-733e8c53ed83___JR_HL 4007.JPG,4
Corn_(maize)___Northern_Leaf_Blight,train\Corn_(maize)___Northern_Leaf_Blight\83327a8d-9bfd-49d6-9fc9-bc065a379bce___RS_NLB 4044 copy 2.jpg,train\Corn_(maize)___Northern_Leaf_Blight\b7ec2193-2a49-43b9-9962-7a13d472e668___RS_NLB 4044.JPG,2
Corn_(maize)___Northern_Leaf_Blight,train\Corn_(maize)___Northern_Leaf_Blight\df1c48d9-2413-4d2d-8a0a-b60a708d32f2___RS_NLB 3955.JPG,val\Corn_(maize)___Northern_Leaf_Blight\f69b1b10-dd7f-44c0-b084-1959316e4f2a___RS_NLB 3955 copy 2.jpg,4
Corn_(maize)___healthy,train\Corn_(maize)___healthy\49ecc957-9ec7-45f7-a3c9-d1e63cf224df___R.S_HL 0607 copy 2.jpg,train\Corn_(maize)___healthy\6aaf943e-fb16-4f8f-86c5-dc36724e25e5___R.S_HL 0607.JPG,4
Corn_(maize)___healthy,train\Corn_(maize)___healthy\94ca39a0-d4df-44c6-b5cc-a38a754506e5___R.S_HL 0601 copy 3.jpg,val\Corn_(maize)___healthy\8afc9635-c5e3-41be-aac0-74109d6112ed___R.S_HL 0601 copy 2.jpg,0
Corn_(maize)___healthy,train\Corn_(maize)___healthy\d2eeaaf5-97f6-4fc0-a2b5-09e98e483648___R.S_HL 0630 copy.jpg,val\Corn_(maize)___healthy\f73f38b8-0938-44f2-a229-6baa3114fe40___R.S_HL 0630 copy 3.jpg,4
Grape___Black_rot,train\Grape___Black_rot\ae42a097-ae73-4526-af1e-496bb0b50b32___FAM_B.Rot 3038.JPG,val\Grape___Black_rot\00090b0f-c140-4e77-8d20-d39f67b75fcc___FAM_B.Rot 0376.JPG,4
Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\0753c4a8-1037-4fc2-8f5d-d442fc7c6b95___FAM_B.Msls 4085.JPG,train\Grape___Esca_(Black_Measles)\1aeac161-7472-4d64-bd17-da030db1fdcb___FAM_B.Msls 1137.JPG,2
Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\2be6cf2c-439e-4db0-8331-48daf39cbe58___FAM_B.Msls 1133.JPG,train\Grape___Esca_(Black_Measles)\6a5b84d5-b309-4745-8655-ba6cd34f0d90___FAM_B.Msls 4077.JPG,4
Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\4a534102-3e9e-4f82-b2c9-c6e8471f35e0___FAM_B.Msls 4300.JPG,train\Grape___Esca_(Black_Measles)\b5a6cca1-c243-4cfd-87db-fe6146c66740___FAM_B.Msls 1215.JPG,2
Grape___healthy,val\Grape___healthy\0c1667a2-61d7-4dee-b4d9-0d141a1ceb20___Mt.N.V_HL 9127.JPG,val\Grape___healthy\28c615fe-bb32-4003-9178-1f130c84c0a3___Mt.N.V_HL 9129.JPG,2
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\02fc11bb-9218-4431-b8f7-c581354cd42b___CREC_HLB 3944.JPG,train\Orange___Haunglongbing_(Citrus_greening)\e662be4c-5ad3-48c8-a250-310a4726a0b7___CREC_HLB 5581.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\0303f47c-acd4-4e0e-aed2-81e8774be5ae___CREC_HLB 4280.JPG,val\Orange___Haunglongbing_(Citrus_greening)\b21337d4-4851-4366-a9b2-90c7fb89865f___CREC_HLB 5565.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\03c5b0f0-ca80-44e3-af4e-584688b4dea8___UF.Citrus_HLB_Lab 0313.JPG,train\Orange___Haunglongbing_(Citrus_greening)\8e69171e-28af-4be5-901e-3f697e75cc8b___UF.Citrus_HLB_Lab 0301.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\0618177f-c21e-4075-bf1c-ea3ac9cca3e4___UF.Citrus_HLB_Lab 9904.JPG,val\Orange___Haunglongbing_(Citrus_greening)\36cf9442-7b86-4713-b2dd-64208f68eb8e___UF.Citrus_HLB_Lab 9905.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\08615e08-6b98-4bba-94d4-01c9d7c51b90___CREC_HLB 5420.JPG,train\Orange___Haunglongbing_(Citrus_greening)\f5b8dec0-636d-4971-9640-cf1c94270e2e___CREC_HLB 5561.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\08e16d19-2f65-494f-b201-f0db9990c76e___CREC_HLB 5409.JPG,train\Orange___Haunglongbing_(Citrus_greening)\2521fd96-1ea2-42dd-850e-60f24f9b5f6a___CREC_HLB 5413.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\0c621f86-bcdf-4281-b43b-2de1bc01fa07___UF.Citrus_HLB_Lab 1061.JPG,train\Orange___Haunglongbing_(Citrus_greening)\2cd472b2-2193-4016-9d0c-b101f8374e76___UF.Citrus_HLB_Lab 1067.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\0e380297-bda3-413b-a0c3-19dfd485d704___UF.Citrus_HLB_Lab 0994.JPG,train\Orange___Haunglongbing_(Citrus_greening)\221b5e57-a859-4fb5-8058-e78e21ea60e6___UF.Citrus_HLB_Lab 0167.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\0e907573-62f5-482a-b10c-2fcbca3dc2c0___CREC_HLB 5416.JPG,train\Orange___Haunglongbing_(Citrus_greening)\52b925d9-51bf-48ce-a88d-1cbecad9b683___CREC_HLB 5184.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\11b4a4de-c43d-48ac-a5a3-00b0875f6959___CREC_HLB 5583.JPG,train\Orange___Haunglongbing_(Citrus_greening)\3ea366e1-7193-4712-9abe-ddbb04df7517___CREC_HLB 5270.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\11b4a4de-c43d-48ac-a5a3-00b0875f6959___CREC_HLB 5583.JPG,train\Orange___Haunglongbing_(Citrus_greening)\9229b2cd-f345-4f62-8198-09ba345ceb57___CREC_HLB 5559.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\14799d69-94a0-4392-81cd-ba5c75225f47___UF.Citrus_HLB_Lab 1278.JPG,train\Orange___Haunglongbing_(Citrus_greening)\fb78e04e-df3f-4637-8ffd-5ffe0852b4ab___UF.Citrus_HLB_Lab 1279.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\2051d463-bfca-433c-8498-1538b1a21a85___UF.Citrus_HLB_Lab 1588.JPG,train\Orange___Haunglongbing_(Citrus_greening)\75c67021-0fcf-4b0f-8d3c-6385b4b47baf___UF.Citrus_HLB_Lab 1587.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\2594eb49-8ace-4ced-976c-279f589c85eb___UF.Citrus_HLB_Lab 9709.JPG,train\Orange___Haunglongbing_(Citrus_greening)\c8105c9a-6dd6-4bef-a490-59ca546a6d7a___UF.Citrus_HLB_Lab 9638.JPG,2
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\2b9fe8b0-d287-4313-8ce2-809de5fae285___UF.Citrus_HLB_Lab 0930.JPG,train\Orange___Haunglongbing_(Citrus_greening)\d5ece7d1-9725-461a-9437-6dd336749c09___UF.Citrus_HLB_Lab 0931.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\2f6367b2-d10a-4c58-8a6e-2773cde5245c___UF.Citrus_HLB_Lab 0092.JPG,val\Orange___Haunglongbing_(Citrus_greening)\e56c447c-f265-4166-821f-b444188a2140___UF.Citrus_HLB_Lab 0090.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\30ddc8d8-338f-47de-a127-4c6d5aa0aec6___UF.Citrus_HLB_Lab 0550.JPG,train\Orange___Haunglongbing_(Citrus_greening)\951dc1ee-39bf-44cc-83af-76a3e75498d4___UF.Citrus_HLB_Lab 0538.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\3452c159-add9-45e5-ab94-cac754ac3a60___UF.Citrus_HLB_Lab 0628.JPG,val\Orange___Haunglongbing_(Citrus_greening)\57a80c77-b938-45fc-b2c9-0216d9cced98___UF.Citrus_HLB_Lab 0636.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\3ea366e1-7193-4712-9abe-ddbb04df7517___CREC_HLB 5270.JPG,train\Orange___Haunglongbing_(Citrus_greening)\9229b2cd-f345-4f62-8198-09ba345ceb57___CREC_HLB 5559.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\3ea366e1-7193-4712-9abe-ddbb04df7517___CREC_HLB 5270.JPG,train\Orange___Haunglongbing_(Citrus_greening)\b0abaf0a-df7d-41b9-b9ad-19cfb0e2aec2___CREC_HLB 5102.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\3ea366e1-7193-4712-9abe-ddbb04df7517___CREC_HLB 5270.JPG,train\Orange___Haunglongbing_(Citrus_greening)\fd5b41ba-4f3e-473b-92e3-a4170c79e61f___CREC_HLB 4981.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\3f3e2a96-409e-4190-ab4f-4fa47a528d80___UF.Citrus_HLB_Lab 0980.JPG,train\Orange___Haunglongbing_(Citrus_greening)\7dbdb991-c516-436e-80df-d03bff3f8a31___UF.Citrus_HLB_Lab 1516.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\3f3e2a96-409e-4190-ab4f-4fa47a528d80___UF.Citrus_HLB_Lab 0980.JPG,train\Orange___Haunglongbing_(Citrus_greening)\cd98c69d-885a-4558-af3b-a23aef5b83ab___UF.Citrus_HLB_Lab 9982.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\44d03006-da82-48b4-964a-1822a4da3ec3___UF.Citrus_HLB_Lab 0790.JPG,train\Orange___Haunglongbing_(Citrus_greening)\fa0ec8f8-6ec7-4778-b007-d04d8632ce1b___UF.Citrus_HLB_Lab 1215.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\4d86882b-9b59-4c28-a7c7-4b6bd43de3f7___UF.Citrus_HLB_Lab 1452.JPG,train\Orange___Haunglongbing_(Citrus_greening)\acfa229f-980a-4c3d-9ae7-0fe5d0b63b47___UF.Citrus_HLB_Lab 1449.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\501e8278-3df7-4202-b772-8834abb5ceb9___UF.Citrus_HLB_Lab 1566.JPG,train\Orange___Haunglongbing_(Citrus_greening)\c26d2d12-5107-4672-99dd-dc23458f334c___UF.Citrus_HLB_Lab 1572.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\5d7a7638-3a13-4bbd-95f1-9a355facafcc___UF.Citrus_HLB_Lab 0253.JPG,train\Orange___Haunglongbing_(Citrus_greening)\a4fccae9-4f8b-4d22-903d-c9aae259ae68___UF.Citrus_HLB_Lab 1530.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\5fb6714a-7725-44a3-b1c2-1d59aa2e7d92___CREC_HLB 5567.JPG,val\Orange___Haunglongbing_(Citrus_greening)\ef9142a7-a600-4541-a533-0d7069414c8f___CREC_HLB 5338.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\63d9c436-08f4-4617-9286-f6a5ed70073e___UF.Citrus_HLB_Lab 0095.JPG,val\Orange___Haunglongbing_(Citrus_greening)\f8c0e949-2dfc-4850-9978-1576b0618eac___UF.Citrus_HLB_Lab 0094.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\744e16e7-5b57-480b-b86c-859ea1bfdd22___UF.Citrus_HLB_Lab 9973.JPG,train\Orange___Haunglongbing_(Citrus_greening)\8400d972-d764-4b09-86fe-34397c664ca0___UF.Citrus_HLB_Lab 9767.JPG,4
Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\74dc2ef2-30ab-4944-a708-3a3d4db2b5c8___CREC_HLB 4358.JPG,train\Orange___Haunglongbing_(Citrus_greening)\ddc06f57-48bc-4562-9903-e98b86ced53a___CREC_HLB 5396.JPG,4
